# GENERATED by analysis/run_index.py from the packed run_manifest.json files and streams -- do not edit.
# The prose half of the registry is runs_registry.tsv.
run	group	provenance	binary	binary_version	preflight	eps	eps2	max_level	L	N1	stop_time	restart	H0	seed_check	name_check	binary_check	intent_check
place_d12_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.9899481192e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d14_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.0268181622e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d16_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.0571990688e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d18_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.0832389298e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d20_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.1065317811e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d24_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.1497191497e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d28_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.1951065278e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d32_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.2507924802e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d36_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.3271519152e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d40_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.4402690171e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d44_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.6183241125e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d48_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.9150669224e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d65_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.8209178315e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d6_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.7991769362e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d75_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.8635039677e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d7_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.8445341226e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
place_d8_step1	04_binary_headon/placement	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.8827157680e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
autopsy_nodamp_r05000	05_binary_spiral/p012	reconstructed	main3d_autopsy_2026-09-08b.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	53.0	yes		n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
autopsy_nodamp_r05000_HOOKFAIL_2026-09-08	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	53.0	yes		n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_orbit_flip_d12_ml2	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	2	64.0	128	60.0		2.9899715573e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_n160	05_binary_spiral/p012	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	160	60.0		2.5300666020e-03	n/a	ok	unknown	ok
merge_orbit_flip_d12_r03000	05_binary_spiral/p012	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	60.0	yes		n/a	ok	unknown	ok
merge_orbit_flip_d12_r04000	05_binary_spiral/p012	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	60.0	yes		n/a	ok	unknown	ok
merge_orbit_flip_d12_r05000	05_binary_spiral/p012	none				0	0							n/a	ok	unknown	ok
